month,NDSI
1989-01,-0.4026640249477969
1989-02,-0.4096381220385174
1989-03,-0.1352245403392797
1989-04,-0.3681981184814489
1989-05,-0.0711802574799741
1989-06,-0.1310401612619537
1989-07,-0.1981333043007408
1989-08,-0.2013103714416744
1989-09,-0.2470426742219278
1989-10,-0.2630713047015823
1989-11,-0.3662074258197346
1989-12,-0.3343076365064379
1990-02,-0.3862430220129477
1990-03,-0.3877424419409844
1990-05,-0.3616739894705745
1990-06,-0.325462853878091
1990-07,-0.2543453508357348
1990-08,-0.2929469153897766
1990-09,-0.2397483504831219
1990-10,-0.2059892927312353
1990-11,-0.3109961598597023
1990-12,-0.340656337810063
1991-01,-0.3031295155475138
1991-02,-0.3942612565134549
1991-03,-0.3658443402701683
1991-04,-0.1639548743200894
1991-05,-0.2023731681212885
1991-06,-0.010040416849603
1991-07,0.0114242879338144
1991-08,0.24893682411904
1991-09,-0.1797458791060105
1991-10,-0.3160480058005172
1991-11,-0.0206116092842773
1991-12,0.1673000469880663
1992-01,-0.2474488443015276
1992-02,-0.2229836704285935
1992-03,-0.3620685477663225
1992-04,-0.2302596759950841
1992-05,-0.1564578648229738
1992-06,-0.2277573905684089
1992-07,-0.1388408499751416
1992-08,-0.0982304911244659
1992-09,-0.0624685629657202
1992-10,-0.0333135547230449
1992-11,0.0556943015284464
1992-12,0.0026206708245982
1993-01,-0.2384345259927357
1993-02,-0.1197271295019728
1993-03,-0.3701869553952259
1993-04,-0.3661418776016666
1993-05,-0.1375519094183032
1993-06,-0.2462583798730757
1993-07,-0.1931966047667425
1993-08,-0.2923132764317387
1993-09,-0.1540603741986833
1993-10,-0.2394647737082009
1993-11,-0.318137146164046
1993-12,-0.2208730946027236
1994-01,-0.2644481410168298
1994-02,-0.1750498327114387
1994-03,-0.1238723819717758
1994-04,-0.298706417923608
1994-05,-0.0328356428000931
1994-06,0.0093030927314292
1994-07,-0.1497349649023762
1994-08,-0.1567114625692214
1994-09,-0.2334250351839975
1994-10,-0.1403613001149224
1994-11,-0.3603971384841287
1994-12,-0.271771920392838
1995-01,-0.214580683346966
1995-02,-0.2662183041609892
1995-03,-0.2657419778782459
1995-04,-0.1933673392312707
1995-05,-0.2463520642986511
1995-06,-0.0987866581317446
1995-07,-0.0990254210470209
1995-08,-0.1502228577827151
1995-09,-0.114768327624604
1995-10,-0.2585267725414782
1995-11,-0.3942606170721115
1995-12,-0.2243904251986803
1996-01,-0.3370739001943463
1996-02,-0.3900373462828946
1996-03,-0.2029406369124027
1996-04,-0.3226815636129003
1996-05,-0.3782815621805846
1996-06,-0.012919900467426
1996-07,-0.1548462282124645
1996-08,-0.1496942942244341
1996-09,0.2673358819571166
1996-10,-0.2857217809619621
1996-11,-0.2805973044118589
1996-12,-0.3148064806773609
1997-01,-0.3305149957870433
1997-02,-0.3593598829799155
1997-03,-0.369311520038079
1997-05,-0.2488486517045561
1997-07,-0.3185976439307235
1997-08,-0.1943001016381101
1997-09,-0.2718252308635876
1997-10,-0.2107025751739717
1997-11,-0.3084662714953677
1997-12,-0.395286981299972
1998-01,-0.3335256785328691
1998-02,-0.3850794301827946
1998-03,-0.4032335104361002
1998-04,-0.3240512650600309
1998-05,-0.3712575801978047
1998-06,0.0307993262260808
1998-07,-0.1791356688228588
1998-08,-0.0137654129207568
1998-09,-0.0324802054964519
1998-10,-0.1799511448475151
1998-12,-0.3766545278745407
1999-01,-0.3889858752304036
1999-02,-0.3891437526479639
1999-03,-0.3717844210494476
1999-04,-0.3466638223266101
1999-05,-0.3820016904315167
1999-06,-0.2862806410323177
1999-07,-0.2721626555330378
1999-08,-0.157848072673087
1999-09,0.062256736741369
1999-10,-0.3544459907478818
1999-11,-0.3304642164525569
1999-07,-0.2671009916430035
1999-08,0.3150512463834025
1999-09,-0.1366153336834306
1999-10,-0.2169672850067518
1999-11,-0.2612350707521859
1999-12,-0.3383635314064039
2000-01,-0.3647631050025091
2000-02,-0.1205733169522068
2000-03,-0.1506735326746459
2000-04,-0.3800100522813903
2000-05,-0.3899355110364156
2000-06,-0.2636968419669709
2000-07,-0.1288273349172881
2000-08,-0.2746673821187548
2000-09,-0.1893157810410683
2000-10,-0.0860256481486951
2000-11,-0.2828479496388609
2000-12,-0.4039998333887837
2001-01,-0.3929855456717659
2001-02,-0.3274969476060357
2001-03,-0.2422067738882143
2001-04,-0.204771262078448
2001-05,-0.29546684120037
2001-06,-0.1995770287711818
2001-07,0.013603723512216
2001-08,-0.1403291371289172
2001-09,-0.1362749889773558
2001-10,-0.2492794724940214
2001-11,-0.2084755482216312
2001-12,-0.0736606674476196
2002-01,-0.3667994373334705
2002-02,-0.3326361053702423
2002-03,-0.2988201182265281
2002-04,-0.371469896839382
2002-05,-0.0137178813510191
2002-06,-0.3637714724941481
2002-07,-0.3147782967927384
2002-08,-0.2449738365144371
2002-09,-0.3032976378054353
2002-11,-0.3584565670229889
2002-12,-0.2874134000828516
2003-01,-0.3999672117614448
2003-02,-0.1229257374969915
2003-03,-0.4460122463006956
2003-04,-0.4413250442651565
2003-05,-0.0968504677156227
2003-07,-0.230450123883438
2003-08,-0.1933783073709044
2003-09,-0.1604949483333865
2003-10,-0.1295230007164233
2003-11,-0.2304956248552253
2003-12,-0.0197746950335401
2004-01,-0.4046335826512285
2004-02,-0.2997222992371233
2004-03,-0.3147145972883428
2004-04,-0.289219456198717
2004-05,-0.1829781178981429
2004-06,-0.3419812322026249
2004-07,0.1296645177493335
2004-08,-0.0612054690088509
2004-09,-0.1208464334507676
2004-10,-0.2447520326618191
