month,EVI
1989-01,0.0984918312054182
1989-02,0.0970744725887298
1989-03,0.0715112872748945
1989-04,0.0739779496337188
1989-05,0.1273411729941248
1989-06,0.2133306185311941
1989-07,0.5644593122558981
1989-08,0.7219135143005511
1989-09,0.6159152342030038
1989-10,0.4209451454689848
1989-11,0.1756200537391358
1989-12,0.1034264394338335
1990-02,0.0971231506602873
1990-03,0.1057376312785834
1990-05,0.1155287186160638
1990-06,0.1195084384530252
1990-07,0.2645411696434285
1990-08,0.4826867727646958
1990-09,0.5849266404294435
1990-10,0.3811464607642065
1990-11,0.1568131848774119
1990-12,0.0885372266165345
1991-01,0.0835804320435809
1991-02,0.0983792373381881
1991-03,0.0934910986249477
1991-04,0.0752759913419408
1991-05,0.1117306587790648
1991-06,0.1656801975143585
1991-07,0.329701250960522
1991-08,0.2858212008153372
1991-09,0.5422277373298824
1991-10,0.3214165469157117
1991-11,0.1000490712972781
1991-12,0.0724472030580598
1992-01,0.0946325393973447
1992-02,0.0701866458129215
1992-03,0.1137416130815059
1992-04,0.1384047397881574
1992-05,0.2660800650979367
1992-06,0.40897399259028
1992-07,0.5217273861756793
1992-08,0.5080675383254131
1992-09,0.5222349058362784
1992-10,0.3448872341165326
1992-11,0.1174633655014261
1992-12,0.0401884141431109
1993-01,0.1620731388657333
1993-02,0.1546902859516205
1993-03,0.17703407898809
1993-04,0.1421137477201356
1993-05,0.1029350518066378
1993-06,0.1634129501371962
1993-07,0.2053963502689491
1993-08,0.367885065483616
1993-09,0.4548816633584165
1993-10,0.3719013663319179
1993-11,0.1531264771735284
1993-12,0.0887341801456835
1994-01,0.0797082510027587
1994-02,0.105479876520293
1994-03,0.070689906778421
1994-04,0.0902971300803624
1994-05,0.0633083758873186
1994-06,0.1181963164192288
1994-07,0.2502108189178685
1994-08,0.413846619341962
1994-09,0.4369433780369338
1994-10,0.1712501307553324
1994-11,0.1278137948930874
1994-12,0.0828337003435396
1995-01,0.0736074600825936
1995-02,0.0628903420615788
1995-03,0.0730679758209327
1995-04,0.0822209469443136
1995-05,0.167384131334785
1995-06,0.4045537114003494
1995-07,0.5273700066540532
1995-08,0.689414479257068
1995-09,0.5612697192900313
1995-10,0.380016578974604
1995-11,0.1272693849103905
1995-12,0.0996749793481717
1996-01,0.0853121822525768
1996-02,0.0962935813784443
1996-03,0.071326670888582
1996-04,0.0920952650449808
1996-05,0.0953863814167674
1996-06,0.1127849849150655
1996-07,0.2428140210884645
1996-08,0.4796637944395741
1996-09,0.2619896944731653
1996-10,0.4941727677293664
1996-11,0.226192198393441
1996-12,0.123709837134868
1997-01,0.1088487261524015
1997-02,0.1097871431399845
1997-03,0.1447405782803481
1997-05,0.1218381697448566
1997-07,0.270521000936456
1997-08,0.3839207393036877
1997-09,0.6281635766320686
1997-10,0.374221279112462
1997-11,0.1340709227433145
1997-12,0.173343204696421
1998-01,0.1711753976705879
1998-02,0.1470832769385168
1998-03,0.1342932897721072
1998-04,0.1264599949392281
1998-05,0.1770375586564443
1998-06,0.2282607141111134
1998-07,0.4334436779625691
1998-08,0.4888150998122055
1998-09,0.5503372064140392
1998-10,0.3662524426211984
1998-12,0.1099120128327359
1999-01,0.0941614317113031
1999-02,0.0905263478430532
1999-03,0.121438573299265
1999-04,0.1524412049879312
1999-05,0.1691553079471715
1999-06,0.2815244597260463
1999-07,0.507446214071591
1999-08,0.576770007340033
1999-09,0.3069300457789445
1999-10,0.2994354051178146
1999-11,0.1354382743813523
1999-07,0.470256060922571
1999-08,0.49278361893624
1999-09,0.4710376641735185
1999-10,0.2881381244768394
1999-11,0.1547610021700556
1999-12,0.1882807512934795
2000-01,0.1533254604430246
2000-02,0.2175231731794793
2000-03,0.2427983785537271
2000-04,0.2010643986379116
2000-05,0.2532391874418258
2000-06,0.3558049729178456
2000-07,0.5067061900402142
2000-08,0.7301680626525865
2000-09,0.657823655090408
2000-10,0.3907835088391342
2000-11,0.2217533024993568
2000-12,0.1257193211033121
2001-01,0.1111286691638276
2001-02,0.1579988078228563
2001-03,0.1410409563671872
2001-04,0.1181080638302749
2001-05,0.1130465494922001
2001-06,0.1998613247536847
2001-07,0.2502419525084124
2001-08,0.5604824177554794
2001-09,0.673642352481401
2001-10,0.514618200037914
2001-11,0.2418403191210868
2001-12,0.332508487408061
2002-01,0.131261321448124
2002-02,0.1862378239254912
2002-03,0.1308568880926185
2002-04,0.1192763082029079
2002-05,0.0987806438456678
2002-06,0.1597669669580052
2002-07,0.4016469601508716
2002-08,0.502582215508183
2002-09,0.4300821627499618
2002-11,0.1956918848345313
2002-12,0.1241724430638166
2003-01,0.0911383560996808
2003-02,0.1135027691458422
2003-03,0.1294321707075444
2003-04,0.1395464557480048
2003-05,0.1317242377487506
2003-07,0.5361819385892839
2003-08,0.656132670035337
2003-09,0.586761044577913
2003-10,0.4823791065882135
2003-11,0.20093111378464
2003-12,0.3125633782073947
2004-01,0.1066329769747461
2004-02,0.0940458999344855
2004-03,0.1060162273984414
2004-04,0.0925281636453264
2004-05,0.0809669484363817
2004-06,0.1448520836863965
2004-07,0.1080761212670725
2004-08,0.4342340501968123
2004-09,0.5481554168352457
2004-10,0.369329301382131
2004-11,0.1521547086339648
2004-12,0.1067986238491799
2005-01,0.1144802877010894
2005-02,0.132502984977715
2005-03,0.1046857163971782
2005-04,0.1027773339629977
2005-05,0.0847364897759154
2005-06,0.1048459339628562
2005-07,0.2428247959867594
2005-08,0.4630971413203134
2005-09,0.6771545714912691
2005-10,0.478625059068936
2005-11,0.2157387054368348
