month,NBRT
1989-01,0.93037834653432
1989-02,0.9301813111261302
1989-03,0.9529863421349852
1989-04,0.9306189165087276
1989-05,0.9612560089942768
1989-06,0.9634899700550328
1989-07,0.979724383019504
1989-08,0.9869895236676156
1989-09,0.9838472382186116
1989-10,0.975403428027508
1989-11,0.9541893243245284
1989-12,0.9427252453892808
1990-02,0.9393231131569668
1990-03,0.9394761586089546
1990-05,0.9408047355892658
1990-06,0.9409886247000808
1990-07,0.9616572814762652
1990-08,0.973728206013553
1990-09,0.9810004941515496
1990-10,0.9739162993317324
1990-11,0.9557870548796928
1990-12,0.9395227347175245
1991-01,0.9440794597298658
1991-02,0.9333660918229114
1991-03,0.9402244212613488
1991-04,0.9522612364326272
1991-05,0.9505508927074028
1991-06,0.9681985883771836
1991-07,0.9778819498879744
1991-08,0.986722728702546
1991-09,0.9803112021725158
1991-10,0.9670278175411758
1991-11,0.9665482856443566
1991-12,0.9809353702452532
1992-01,0.952949815096229
1992-02,0.9499689039318552
1992-03,0.9358755559579968
1992-04,0.9512872239078782
1992-05,0.9668023780397168
1992-06,0.9715393361563688
1992-07,0.9794536489958616
1992-08,0.9819333024905612
1992-09,0.9828529348239244
1992-10,0.9784431922440752
1992-11,0.9735381256594894
1992-12,0.9598441105654656
1993-01,0.9572198954040072
1993-02,0.9646244987121576
1993-03,0.9502044778993354
1993-04,0.9442682089742432
1993-05,0.9623624329316331
1993-06,0.953462508859288
1993-07,0.9606356770948024
1993-08,0.9666699891498542
1993-09,0.979290906849627
1993-10,0.9734640424113824
1993-11,0.9509105847273084
1993-12,0.9528830684963588
1994-01,0.9452937113768426
1994-02,0.956687446852752
1994-03,0.9544570677718603
1994-04,0.9408326135868732
1994-05,0.9658062814378892
1994-06,0.9676294570740912
1994-07,0.9647483477599432
1994-08,0.974938543156442
1994-09,0.9749979607005428
1994-10,0.9650451312676848
1994-11,0.9410380726362484
1994-12,0.9452136960818488
1995-01,0.946238175365465
1995-02,0.93746800242811
1995-03,0.9394233251982704
1995-04,0.9508763547703912
1995-05,0.9522587859598012
1995-06,0.9726098387485174
1995-07,0.9794802709698308
1995-08,0.9839956523546516
1995-09,0.9832085910962466
1995-10,0.9740213927866002
1995-11,0.947993110621954
1995-12,0.9537301241221264
1996-01,0.9400421363367312
1996-02,0.9366859473130256
1996-03,0.94875994457246
1996-04,0.9391129858465932
1996-05,0.933095383703508
1996-06,0.9669617962254852
1996-07,0.9646328908641402
1996-08,0.9780247620109392
1996-09,0.9853136430267933
1996-10,0.9780258572442992
1996-11,0.9661921364895494
1996-12,0.9563829175806854
1997-01,0.9516480114394726
1997-02,0.9420692615225086
1997-03,0.9483073528183358
1997-05,0.9487346397351556
1997-07,0.9583399353400344
1997-08,0.9703567001517444
1997-09,0.9846877648363318
1997-10,0.9714548708400834
1997-11,0.9514034975996586
1997-12,0.946945889815516
1998-01,0.9518622887282326
1998-02,0.9429556102996433
1998-03,0.937873599941498
1998-04,0.9408667728107512
1998-05,0.941203105101134
1998-06,0.975289738870144
1998-07,0.9744040678033952
1998-08,0.9830506172899248
1998-09,0.984293537528856
1998-10,0.9700378764613554
1998-12,0.9422187692658288
1999-01,0.9360193336888
1999-02,0.9358807435463216
1999-03,0.9386963869359892
1999-04,0.94295199423431
1999-05,0.9458678940942314
1999-06,0.9561545229648412
1999-07,0.9755187344677848
1999-08,0.98424505951011
1999-09,0.9762304098835288
1999-10,0.9615894473194296
1999-11,0.94650338435252
1999-07,0.9755629840744384
1999-08,0.9844823111007456
1999-09,0.9813348857569264
1999-10,0.9675051623114268
1999-11,0.953774684046942
1999-12,0.9446194202575744
2000-01,0.9422226455018048
2000-02,0.9625512021380486
2000-03,0.960762070636281
2000-04,0.948814666532169
2000-05,0.9490311094305146
2000-06,0.970251015887962
2000-07,0.9788976382651344
2000-08,0.985853589771142
2000-09,0.9858052694577824
2000-10,0.9732952291357944
2000-11,0.958922399208592
2000-12,0.9517618276927462
2001-01,0.9475601254069131
2001-02,0.949245252048329
2001-03,0.9544589646778296
2001-04,0.9562506327680852
2001-05,0.9468589225329652
2001-06,0.9614583920371652
2001-07,0.976356746872026
2001-08,0.9823470062431348
2001-09,0.984695230708576
2001-10,0.9809611688493892
2001-11,0.9651162441082608
2001-12,0.9689271227244958
2002-01,0.946759638453866
2002-02,0.9515107567299544
2002-03,0.9520606181703436
2002-04,0.945855008993634
2002-05,0.9680500378060988
2002-06,0.94780408005452
2002-07,0.9701065706654968
2002-08,0.9753392923797528
2002-09,0.9744902014265951
2002-11,0.9470679422933376
2002-12,0.9470824564788464
2003-01,0.9369418113656136
2003-02,0.9545882968944792
2003-03,0.9318811325252992
2003-04,0.9357576293925158
2003-05,0.9647309997324932
2003-07,0.9779723131896532
2003-08,0.9855137847526504
2003-09,0.9789567940545976
2003-10,0.9776473424169017
2003-11,0.967564114498058
2003-12,0.97292574247103
2004-01,0.9458991098217312
2004-02,0.951199469228316
2004-03,0.9494632357268666
2004-04,0.946843285997222
2004-05,0.957619543936991
2004-06,0.9478424943463952
2004-07,0.9743423585244289
2004-08,0.975283987937948
2004-09,0.9810005998590428
2004-10,0.9722641955660332
2004-11,0.966212798253964
2004-12,0.9370141188787636
2005-01,0.9452695683824424
2005-02,0.9487387739083712
2005-03,0.9415707637643104
2005-04,0.9352358070343834
2005-05,0.9489854011372492
2005-06,0.9591061867466578
2005-07,0.9641067278381008
2005-08,0.9769031821222732
2005-09,0.9848728118922322
2005-10,0.977240497900547
2005-11,0.9590942178607365
2005-12,0.9580308431175392
